symbol,liquidity_status,reasons,volume_24h,spread_percent,depth_usd,last_price,timestamp,trade_count,avg_position_size_usdt,max_position_size_usdt,total_pnl,avg_pnl_percent
PENGUUSDT,low,"주문장 깊이(65,723.52 USD)가 기준치(500,000 USD) 미만",41377906.777431,0.03902439024389069,65723.521653,0.005126,2025-04-14 21:17:02,2,174602.86,199432.79,-4.369999999999891,0.28
USUALUSDT,low,"주문장 깊이(261,191.50 USD)가 기준치(500,000 USD) 미만",49632234.9475,0.06211180124222919,261191.5039,0.1612,2025-04-14 21:17:03,7,255899.89428571428,500791.33,92591.19,2.4814285714285718
MOCAUSDT,low,"24시간 거래량(4,518,345.73 USD)이 기준치(10,000,000 USD) 미만, 주문장 깊이(177,497.21 USD)가 기준치(500,000 USD) 미만",4518345.7255,0.12437810945273987,177497.2115,0.0802,2025-04-14 21:17:03,1,195277.9,195277.9,23008.0,11.78
THETAUSDT,low,"주문장 깊이(116,287.10 USD)가 기준치(500,000 USD) 미만",19525727.9474,0.014007564084604143,116287.09689,0.7139,2025-04-14 21:17:04,1,500864.24,500864.24,54230.0,10.83
SAGAUSDT,low,"24시간 거래량(9,191,516.99 USD)이 기준치(10,000,000 USD) 미만, 주문장 깊이(260,557.43 USD)가 기준치(500,000 USD) 미만",9191516.99284,0.04612546125462027,260557.42961999998,0.2168,2025-04-14 21:17:05,1,100237.39,100237.39,-8917.97,-8.9
FARTCOINUSDT,low,"주문장 깊이(313,958.31 USD)가 기준치(500,000 USD) 미만",797178464.71526,0.01152604887044594,313958.3094,0.8667,2025-04-14 21:17:05,5,140499.802,250233.36,-8486.3,-0.788
STEEMUSDT,low,"주문장 깊이(21,707.56 USD)가 기준치(500,000 USD) 미만",11260233.84824,0.007490075649771554,21707.5566,0.13346,2025-04-14 21:17:06,1,90049.99,90049.99,-505.6,-0.56
SPXUSDT,low,"주문장 깊이(48,652.88 USD)가 기준치(500,000 USD) 미만",31894798.1451,0.05617977528089269,48652.879199999996,0.5343,2025-04-14 21:17:06,2,201601.81,202920.51,-4909.889999999999,-1.2
BIOUSDT,low,"주문장 깊이(422,414.52 USD)가 기준치(500,000 USD) 미만",18116743.266,0.20449897750511836,422414.515,0.0489,2025-04-14 21:17:07,2,187646.825,275181.89,-9620.51,-4.34
VIRTUALUSDT,low,"주문장 깊이(231,501.09 USD)가 기준치(500,000 USD) 미만",63460987.65029,0.017421602787473872,231501.08595,0.5742,2025-04-14 21:17:08,4,216056.895,313450.97,7418.009999999999,0.9775
RAYSOLUSDT,low,"주문장 깊이(22,438.34 USD)가 기준치(500,000 USD) 미만",26103001.18155,0.014577967831271924,22438.34459,2.0576,2025-04-14 21:17:08,2,175509.465,200464.44,-1833.3899999999999,-0.6649999999999999
WLDUSDT,low,"주문장 깊이(435,800.58 USD)가 기준치(500,000 USD) 미만",71966429.7083,0.013123359580051048,435800.5822,0.762,2025-04-14 21:17:12,2,174789.72999999998,249837.61,-17340.61,-2.1499999999999995
ARCUSDT,low,"주문장 깊이(85,459.36 USD)가 기준치(500,000 USD) 미만",69806638.40588,0.0567214974475303,85459.36331,0.03526,2025-04-14 21:17:13,1,100173.72,100173.72,14630.0,14.61
STGUSDT,low,"24시간 거래량(4,129,482.78 USD)이 기준치(10,000,000 USD) 미만, 주문장 깊이(159,574.99 USD)가 기준치(500,000 USD) 미만",4129482.7769,0.053590568060030416,159574.98719999997,0.1866,2025-04-14 21:17:14,2,65161.46000000001,100281.46,-778.62,-0.39
AVAAIUSDT,low,"주문장 깊이(60,293.83 USD)가 기준치(500,000 USD) 미만",62025101.18026,0.05327650506128429,60293.83163,0.03749,2025-04-14 21:17:14,1,50345.46,50345.46,-2078.86,-4.13
TSTUSDT,low,"주문장 깊이(314,383.86 USD)가 기준치(500,000 USD) 미만",21205986.6031,0.13623978201633377,314383.8645,0.0735,2025-04-14 21:17:15,2,199162.885,200148.32,-34983.74,-8.82
CAKEUSDT,low,"주문장 깊이(54,177.08 USD)가 기준치(500,000 USD) 미만",35690616.9266,0.0053092646668430575,54177.075300000004,1.8834,2025-04-14 21:17:16,4,319384.3325,400693.34,23314.31,2.0125
BERAUSDT,low,"주문장 깊이(350,602.07 USD)가 기준치(500,000 USD) 미만",68556843.3951,0.024740227610102278,350602.071,4.044,2025-04-14 21:17:16,2,149920.24,199765.4,11487.0,3.295
SUSDT,low,"주문장 깊이(341,458.43 USD)가 기준치(500,000 USD) 미만",69102100.9998,0.019630938358851394,341458.4329,0.5096,2025-04-14 21:17:17,5,281585.07200000004,538218.86,31378.52,0.56
APTUSDT,low,"주문장 깊이(37,463.16 USD)가 기준치(500,000 USD) 미만",72067893.16364,0.0020159258139432544,37463.15783,4.9615,2025-04-14 21:17:18,1,199470.95,199470.95,-1843.22,-0.92
LAYERUSDT,low,"주문장 깊이(69,575.12 USD)가 기준치(500,000 USD) 미만",184650220.54481,0.005081817257850848,69575.11544,1.9676,2025-04-14 21:17:19,2,125117.33,149989.25,3762.79,1.835
BRETTUSDT,low,"주문장 깊이(164,204.87 USD)가 기준치(500,000 USD) 미만",28394116.32498,0.02857959416977154,164204.87123,0.03502,2025-04-14 21:17:20,1,300943.75,300943.75,-1547.22,-0.51
IPUSDT,low,"주문장 깊이(5,916.39 USD)가 기준치(500,000 USD) 미만",35378465.558972,0.005818277486306166,5916.391223,3.95293,2025-04-14 21:17:20,3,217200.37666666668,300278.76,-11336.71,-1.7299999999999998
TAOUSDT,low,"주문장 깊이(66,132.53 USD)가 기준치(500,000 USD) 미만",103470345.62,0.004056301464321139,66132.52737,246.52,2025-04-14 21:17:21,2,350343.105,500536.61,-1883.01,-0.41
VANAUSDT,low,"주문장 깊이(101,596.88 USD)가 기준치(500,000 USD) 미만",16712634.22832,0.018234865062004633,101596.8831,5.482,2025-04-14 21:17:22,4,341333.895,399258.73,19272.42,1.1425
KAITOUSDT,low,"주문장 깊이(178,868.87 USD)가 기준치(500,000 USD) 미만",70321575.8556,0.012918227619169227,178868.87415,0.7741,2025-04-14 21:17:22,1,149846.82,149846.82,301.27,0.2
SAFEUSDT,low,"24시간 거래량(6,692,288.73 USD)이 기준치(10,000,000 USD) 미만, 주문장 깊이(56,073.21 USD)가 기준치(500,000 USD) 미만",6692288.7288,0.02262443438913778,56073.2146,0.4418,2025-04-14 21:17:23,1,100428.89,100428.89,-75.81,-0.08
SHELLUSDT,low,"주문장 깊이(161,362.81 USD)가 기준치(500,000 USD) 미만",16249315.5542,0.08620689655171464,161362.8112,0.1162,2025-04-14 21:17:24,1,200451.59,200451.59,-6988.86,-3.49
HBARUSDT,low,"주문장 깊이(206,718.96 USD)가 기준치(500,000 USD) 미만",133199435.30879,0.005884429798742053,206718.95785,0.16994,2025-04-14 21:17:24,3,183511.85333333336,200233.18,-4109.37,-0.7400000000000001
JTOUSDT,low,"주문장 깊이(45,164.63 USD)가 기준치(500,000 USD) 미만",18977062.6767,0.017269168777340946,45164.6278,1.7368,2025-04-14 21:17:25,1,251128.07,251128.07,-1005.79,-0.4
GPSUSDT,low,스프레드(0.53%)가 기준치(0.30%) 초과,25672584.2661,0.5347593582887669,887839.4994000001,0.0187,2025-04-14 21:17:25,1,150114.8,150114.8,-6968.55,-4.64
MUBARAKUSDT,low,스프레드(0.39%)가 기준치(0.30%) 초과,98308442.6415,0.3921568627451093,1437664.1914,0.0256,2025-04-14 21:17:27,2,152049.74,153479.87,35006.0,11.49
TONUSDT,low,"주문장 깊이(69,625.72 USD)가 기준치(500,000 USD) 미만",83270142.86491,0.003497237182633106,69625.72309,2.8602,2025-04-14 21:17:28,1,149969.87,149969.87,-666.9,-0.44
KAIAUSDT,low,"24시간 거래량(3,361,659.22 USD)이 기준치(10,000,000 USD) 미만, 주문장 깊이(314,973.72 USD)가 기준치(500,000 USD) 미만",3361659.221,0.09813542688909616,314973.71770000004,0.1019,2025-04-14 21:17:29,1,70078.24,70078.24,-3510.73,-5.01
