Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period,Period_Cumulative_PnL
RDNTUSDT,Long,0.284 USDT,"1,020,645","290,821.53 USDT","-6,140.90 USDT",-2.11 %,08/11/2023 19:00 UTC,08/16/2023 20:29 UTC,4.89 % 0.30 USDT,-7.58 % 0.26 USDT,2023-08-11 19:00:00,2023-08-16 20:29:00,2023-08-12 04:00:00,2023-08-17 05:29:00,2023-08-12 04:00 KST,2023-08-17 05:29 KST,6140.9,-1,-6140.9,290821.53,290821.53,-63174.14,1,-63174.14
MKRUSDT,Long,"1,223.471 USDT","1,013.035","1,239,418.80 USDT","-55,590.36 USDT",-4.49 %,08/12/2023 13:09 UTC,08/16/2023 15:29 UTC,"4.46 % 1,278 USDT","-6.25 % 1,147 USDT",2023-08-12 13:09:00,2023-08-16 15:29:00,2023-08-12 22:09:00,2023-08-17 00:29:00,2023-08-12 22:09 KST,2023-08-17 00:29 KST,55590.36,-1,-55590.36,1239418.8,1239418.8,-118764.5,1,-118764.5
BTCUSDT,Long,"29,368.576 USDT",50,"1,468,428.78 USDT","-17,869.74 USDT",-1.22 %,08/14/2023 20:24 UTC,08/16/2023 20:29 UTC,"0.42 % 29,492 USDT","-1.64 % 28,888 USDT",2023-08-14 20:24:00,2023-08-16 20:29:00,2023-08-15 05:24:00,2023-08-17 05:29:00,2023-08-15 05:24 KST,2023-08-17 05:29 KST,17869.74,-1,-17869.74,1468428.78,1468428.78,-136634.24,1,-136634.24
ARBUSDT,Long,1.137 USDT,"17,578.5","19,989.20 USDT",393.26 USDT,1.97 %,08/15/2023 12:07 UTC,08/15/2023 14:29 UTC,2.04 % 1.16 USDT,,2023-08-15 12:07:00,2023-08-15 14:29:00,2023-08-15 21:07:00,2023-08-15 23:29:00,2023-08-15 21:07 KST,2023-08-15 23:29 KST,393.26,1,393.26,19989.2,19989.2,-136240.97999999998,1,-136240.97999999998
SSVUSDT,Long,16.943 USDT,"5,555","94,119.73 USDT","-5,143.53 USDT",-5.46 %,08/15/2023 19:37 UTC,08/16/2023 20:29 UTC,2.11 % 17.30 USDT,-8.87 % 15.44 USDT,2023-08-15 19:37:00,2023-08-16 20:29:00,2023-08-16 04:37:00,2023-08-17 05:29:00,2023-08-16 04:37 KST,2023-08-17 05:29 KST,5143.53,-1,-5143.53,94119.73,94119.73,-141384.50999999998,1,-141384.50999999998
MKRUSDT,Short,"1,144.1 USDT",26.628,"-30,465.09 USDT",-42.26 USDT,-0.14 %,08/16/2023 16:19 UTC,08/16/2023 16:23 UTC,,,2023-08-16 16:19:00,2023-08-16 16:23:00,2023-08-17 01:19:00,2023-08-17 01:23:00,2023-08-17 01:19 KST,2023-08-17 01:23 KST,42.26,-1,-42.26,-30465.09,30465.09,-141426.77,1,-141426.77
EOSUSDT,Long,0.656 USDT,"222,222","145,777.63 USDT","-4,308.42 USDT",-2.96 %,08/16/2023 16:39 UTC,08/16/2023 20:29 UTC,1.22 % 0.66 USDT,-6.25 % 0.62 USDT,2023-08-16 16:39:00,2023-08-16 20:29:00,2023-08-17 01:39:00,2023-08-17 05:29:00,2023-08-17 01:39 KST,2023-08-17 05:29 KST,4308.42,-1,-4308.42,145777.63,145777.63,-145735.19,1,-145735.19
MKRUSDT,Long,"1,140.46 USDT",655.332,"747,380.07 USDT","-10,642.47 USDT",-1.42 %,08/16/2023 18:24 UTC,08/16/2023 20:29 UTC,"0.48 % 1,145 USDT","-3.55 % 1,100 USDT",2023-08-16 18:24:00,2023-08-16 20:29:00,2023-08-17 03:24:00,2023-08-17 05:29:00,2023-08-17 03:24 KST,2023-08-17 05:29 KST,10642.47,-1,-10642.47,747380.07,747380.07,-156377.66,1,-156377.66
BTCUSDT,Long,"28,684.339 USDT",37,"1,061,320.54 USDT","-23,711.91 USDT",-2.23 %,08/17/2023 06:44 UTC,08/17/2023 15:44 UTC,,"-2.65 % 27,925 USDT",2023-08-17 06:44:00,2023-08-17 15:44:00,2023-08-17 15:44:00,2023-08-18 00:44:00,2023-08-17 15:44 KST,2023-08-18 00:44 KST,23711.91,-1,-23711.91,1061320.54,1061320.54,-180089.57,1,-180089.57
EOSUSDT,Long,0.637 USDT,"150,000","95,550.00 USDT",-57.33 USDT,-0.06 %,08/17/2023 09:00 UTC,08/17/2023 14:09 UTC,0.63 % 0.64 USDT,-0.47 % 0.63 USDT,2023-08-17 09:00:00,2023-08-17 14:09:00,2023-08-17 18:00:00,2023-08-17 23:09:00,2023-08-17 18:00 KST,2023-08-17 23:09 KST,57.33,-1,-57.33,95550.0,95550.0,-180146.9,1,-180146.9
LTCUSDT,Long,75.19 USDT,"1,500","112,785.00 USDT",157.26 USDT,0.14 %,08/17/2023 09:44 UTC,08/17/2023 14:08 UTC,0.72 % 75.73 USDT,-0.51 % 74.81 USDT,2023-08-17 09:44:00,2023-08-17 14:08:00,2023-08-17 18:44:00,2023-08-17 23:08:00,2023-08-17 18:44 KST,2023-08-17 23:08 KST,157.26,1,157.26,112785.0,112785.0,-179989.63999999998,1,-179989.63999999998
BTCUSDT,Long,"25,685.549 USDT",37,"950,365.32 USDT","9,677 USDT",1.02 %,08/17/2023 21:45 UTC,08/17/2023 21:48 UTC,"2.03 % 26,207 USDT",,2023-08-17 21:45:00,2023-08-17 21:48:00,2023-08-18 06:45:00,2023-08-18 06:48:00,2023-08-18 06:45 KST,2023-08-18 06:48 KST,9677.0,1,9677.0,950365.32,950365.32,-170312.63999999998,1,-170312.63999999998
BTCUSDT,Long,"26,221.51 USDT",37,"970,195.89 USDT","10,517 USDT",1.08 %,08/17/2023 21:49 UTC,08/17/2023 22:01 UTC,"1.15 % 26,521 USDT","-2.01 % 25,694 USDT",2023-08-17 21:49:00,2023-08-17 22:01:00,2023-08-18 06:49:00,2023-08-18 07:01:00,2023-08-18 06:49 KST,2023-08-18 07:01 KST,10517.0,1,10517.0,970195.89,970195.89,-159795.63999999998,1,-159795.63999999998
XRPUSDT,Long,0.5 USDT,"200,000","100,000.00 USDT",559.81 USDT,0.56 %,08/17/2023 22:18 UTC,08/18/2023 13:55 UTC,4.60 % 0.52 USDT,-3.56 % 0.48 USDT,2023-08-17 22:18:00,2023-08-18 13:55:00,2023-08-18 07:18:00,2023-08-18 22:55:00,2023-08-18 07:18 KST,2023-08-18 22:55 KST,559.81,1,559.81,100000.0,100000.0,-159235.83,1,-159235.83
BTCUSDT,Long,"26,382.865 USDT",60,"1,582,971.91 USDT","-32,174.33 USDT",-2.03 %,08/17/2023 22:30 UTC,08/18/2023 17:05 UTC,"2.32 % 26,994 USDT","-2.49 % 25,726 USDT",2023-08-17 22:30:00,2023-08-18 17:05:00,2023-08-18 07:30:00,2023-08-19 02:05:00,2023-08-18 07:30 KST,2023-08-19 02:05 KST,32174.33,-1,-32174.33,1582971.91,1582971.91,-191410.15999999997,1,-191410.15999999997
EOSUSDT,Long,0.576 USDT,"272,225","156,785.22 USDT","-2,407.02 USDT",-1.54 %,08/17/2023 22:36 UTC,08/18/2023 17:12 UTC,1.23 % 0.58 USDT,-2.59 % 0.56 USDT,2023-08-17 22:36:00,2023-08-18 17:12:00,2023-08-18 07:36:00,2023-08-19 02:12:00,2023-08-18 07:36 KST,2023-08-19 02:12 KST,2407.02,-1,-2407.02,156785.22,156785.22,-193817.17999999996,1,-193817.17999999996
LTCUSDT,Long,64.52 USDT,"3,000","193,559.35 USDT","1,474 USDT",0.76 %,08/17/2023 22:41 UTC,08/18/2023 15:17 UTC,2.70 % 66.26 USDT,-0.91 % 63.93 USDT,2023-08-17 22:41:00,2023-08-18 15:17:00,2023-08-18 07:41:00,2023-08-19 00:17:00,2023-08-18 07:41 KST,2023-08-19 00:17 KST,1474.0,1,1474.0,193559.35,193559.35,-192343.17999999996,1,-192343.17999999996
MKRUSDT,Short,"1,072.6 USDT",0.822,881.68 USDT,-0.45 USDT,-0.05 %,08/18/2023 17:06 UTC,08/18/2023 17:12 UTC,,"-0.01 % 1,072 USDT",2023-08-18 17:06:00,2023-08-18 17:12:00,2023-08-19 02:06:00,2023-08-19 02:12:00,2023-08-19 02:06 KST,2023-08-19 02:12 KST,0.45,-1,-0.45,881.68,881.68,-192343.62999999998,1,-192343.62999999998
MKRUSDT,Short,"1,078.025 USDT",257.014,"-277,067.41 USDT","19,992 USDT",7.22 %,08/18/2023 20:50 UTC,08/22/2023 21:29 UTC,"7.31 % 1,004 USDT","-3.64 % 1,118 USDT",2023-08-18 20:50:00,2023-08-22 21:29:00,2023-08-19 05:50:00,2023-08-23 06:29:00,2023-08-19 05:50 KST,2023-08-23 06:29 KST,19992.0,1,19992.0,-277067.41,277067.41,-172351.62999999998,1,-172351.62999999998
ETHUSDT,Short,"1,659.463 USDT",270,"-448,054.92 USDT","5,489 USDT",1.23 %,08/19/2023 08:55 UTC,08/22/2023 18:39 UTC,"2.33 % 1,621 USDT","-1.91 % 1,691 USDT",2023-08-19 08:55:00,2023-08-22 18:39:00,2023-08-19 17:55:00,2023-08-23 03:39:00,2023-08-19 17:55 KST,2023-08-23 03:39 KST,5489.0,1,5489.0,-448054.92,448054.92,-166862.62999999998,1,-166862.62999999998
BTCUSDT,Short,"25,963.913 USDT",40.68,"-1,056,211.99 USDT","3,703 USDT",0.35 %,08/19/2023 09:02 UTC,08/22/2023 18:33 UTC,"0.83 % 25,751 USDT","-1.04 % 26,238 USDT",2023-08-19 09:02:00,2023-08-22 18:33:00,2023-08-19 18:02:00,2023-08-23 03:33:00,2023-08-19 18:02 KST,2023-08-23 03:33 KST,3703.0,1,3703.0,-1056211.99,1056211.99,-163159.62999999998,1,-163159.62999999998
MKRUSDT,Long,"1,006.817 USDT",300,"302,045.12 USDT","3,565 USDT",1.18 %,08/22/2023 21:28 UTC,08/23/2023 13:06 UTC,"3.90 % 1,046 USDT","-0.24 % 1,004 USDT",2023-08-22 21:28:00,2023-08-23 13:06:00,2023-08-23 06:28:00,2023-08-23 22:06:00,2023-08-23 06:28 KST,2023-08-23 22:06 KST,3565.0,1,3565.0,302045.12,302045.12,-159594.62999999998,1,-159594.62999999998
BTCUSDT,Long,"25,643.952 USDT",37,"948,826.24 USDT","8,790 USDT",0.93 %,08/22/2023 21:30 UTC,08/23/2023 12:26 UTC,"2.08 % 26,177 USDT","-0.34 % 25,555 USDT",2023-08-22 21:30:00,2023-08-23 12:26:00,2023-08-23 06:30:00,2023-08-23 21:26:00,2023-08-23 06:30 KST,2023-08-23 21:26 KST,8790.0,1,8790.0,948826.24,948826.24,-150804.62999999998,1,-150804.62999999998
