period,time,start_capital,end_capital,change,change_pct,cumulative_max,drawdown,year_month
279,2024-11-27 04:27:00,164193.26797773852,164193.26797773852,0.0,0.0,164477.22309955396,-0.17264099944316696,2024-11
280,2024-11-27 05:40:00,164193.26797773852,164193.26797773852,0.0,0.0,164477.22309955396,-0.17264099944316696,2024-11
281,2024-11-27 05:48:00,164193.26797773852,164193.26797773852,0.0,0.0,164477.22309955396,-0.17264099944316696,2024-11
282,2024-11-27 05:58:00,164193.26797773852,164192.18173110925,-1.086246629274683,-0.0006615658745655501,164477.22309955396,-0.1733014231837947,2024-11
283,2024-11-27 08:55:00,164192.18173110925,164184.9867831984,-7.194947910844348,-0.004382028324970562,164477.22309955396,-0.17767585739131378,2024-11
284,2024-11-27 18:48:00,164184.9867831984,164184.9867831984,0.0,0.0,164477.22309955396,-0.17767585739131378,2024-11
285,2024-11-27 19:43:00,164184.9867831984,164184.9867831984,0.0,0.0,164477.22309955396,-0.17767585739131378,2024-11
286,2024-11-27 19:46:00,164184.9867831984,164176.09878412233,-8.887999076076085,-0.005413405482568534,164477.22309955396,-0.18307964455927708,2024-11
287,2024-11-27 19:49:00,164176.09878412233,164194.1927912908,18.094007168489043,0.01102109704304835,164477.22309955396,-0.17207872490152168,2024-11
288,2024-11-27 19:58:00,164194.1927912908,164289.76883990498,95.57604861416621,0.058209152826527825,164477.22309955396,-0.1139697376429537,2024-11
289,2024-11-27 20:24:00,164289.76883990498,164054.67926351502,-235.0895763899607,-0.14309447146343474,164477.22309955396,-0.25690112471268,2024-11
290,2024-11-27 21:36:00,164054.67926351502,163445.44602141943,-609.2332420955936,-0.3713598690574407,164477.22309955396,-0.6273069660897805,2024-11
291,2024-11-29 19:43:00,163445.44602141943,163445.44602141943,0.0,0.0,164477.22309955396,-0.6273069660897805,2024-11
292,2024-11-29 20:00:00,163445.44602141943,163445.44602141943,0.0,0.0,164477.22309955396,-0.6273069660897805,2024-11
293,2024-11-30 09:30:00,163445.44602141943,164434.74433411894,989.2983126995096,0.6052773795666736,164477.22309955396,-0.02582653368929431,2024-11
294,2024-11-30 09:53:00,164434.74433411894,164502.13110201564,67.38676789670717,0.04098085728146502,164502.13110201564,0.0,2024-11
